AGE	JOB	MARITAL_STATUS	EDU	social	race	sex	position	county	country	salary
57	 Federal-gov	 Married-civ-spouse	 Bachelors	 Husband	 Black	 Male	 Prof-specialty	40	 United-States	 >50K
53	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Machine-op-inspct	38	 United-States	 <=50K
44	 Private	 Divorced	 Masters	 Unmarried	 White	 Female	 Exec-managerial	40	 United-States	 <=50K
41	 State-gov	 Married-civ-spouse	 Assoc-voc	 Husband	 White	 Male	 Craft-repair	40	 United-States	 <=50K
29	 Private	 Never-married	 Assoc-voc	 Not-in-family	 White	 Male	 Prof-specialty	43	 United-States	 <=50K
25	 Private	 Married-civ-spouse	 Some-college	 Wife	 Other	 Female	 Exec-managerial	40	 United-States	 <=50K
18	 Private	 Never-married	 HS-grad	 Own-child	 White	 Female	 Other-service	30	 ?	 <=50K
47	 Private	 Married-civ-spouse	 Prof-school	 Wife	 White	 Female	 Prof-specialty	60	 Honduras	 >50K
50	 Federal-gov	 Divorced	 Bachelors	 Not-in-family	 White	 Male	 Exec-managerial	55	 United-States	 >50K
47	 Self-emp-inc	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 Exec-managerial	60	 United-States	 <=50K
43	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Tech-support	40	 United-States	 >50K
46	 Private	 Married-civ-spouse	 5th-6th	 Husband	 White	 Male	 Machine-op-inspct	40	 Mexico	 <=50K
35	 Private	 Married-civ-spouse	 Assoc-voc	 Husband	 White	 Male	 Other-service	40	 Puerto-Rico	 <=50K
41	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Adm-clerical	48	 United-States	 <=50K
30	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Machine-op-inspct	40	 United-States	 <=50K
30	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Sales	40	 United-States	 <=50K
32	 ?	 Married-spouse-absent	 7th-8th	 Not-in-family	 White	 Male	 ?	40	 ?	 <=50K
48	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Transport-moving	40	 United-States	 <=50K
42	 Private	 Married-civ-spouse	 Doctorate	 Husband	 White	 Male	 Prof-specialty	45	 United-States	 >50K
29	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Male	 Tech-support	58	 United-States	 <=50K
36	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	40	 United-States	 <=50K
28	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
53	 Private	 Married-civ-spouse	 HS-grad	 Wife	 White	 Female	 Adm-clerical	40	 United-States	 >50K
49	 Self-emp-inc	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Exec-managerial	50	 United-States	 >50K
25	 ?	 Never-married	 Some-college	 Own-child	 White	 Male	 ?	40	 United-States	 <=50K
19	 Private	 Never-married	 Some-college	 Own-child	 White	 Male	 Prof-specialty	32	 United-States	 <=50K
31	 Private	 Separated	 Bachelors	 Own-child	 Black	 Female	 Sales	40	 United-States	 <=50K
29	 Self-emp-not-inc	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Sales	70	 United-States	 >50K
23	 Private	 Never-married	 Some-college	 Not-in-family	 White	 Male	 Machine-op-inspct	40	 United-States	 <=50K
79	 Private	 Married-civ-spouse	 Some-college	 Other-relative	 White	 Male	 Prof-specialty	20	 United-States	 <=50K
27	 Private	 Never-married	 HS-grad	 Own-child	 White	 Male	 Other-service	40	 Mexico	 <=50K
40	 Private	 Married-civ-spouse	 Assoc-acdm	 Husband	 White	 Male	 Adm-clerical	40	 United-States	 <=50K
67	 ?	 Married-civ-spouse	 10th	 Husband	 White	 Male	 ?	2	 United-States	 <=50K
18	 Private	 Never-married	 11th	 Own-child	 White	 Female	 Other-service	22	 United-States	 <=50K
31	 Local-gov	 Married-civ-spouse	 7th-8th	 Husband	 White	 Male	 Farming-fishing	40	 United-States	 <=50K
18	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Sales	30	 United-States	 <=50K
52	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Other-service	40	 Cuba	 <=50K
46	 Private	 Married-civ-spouse	 HS-grad	 Wife	 White	 Female	 Other-service	40	 United-States	 <=50K
59	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Sales	48	 United-States	 <=50K
44	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Female	 Craft-repair	40	 United-States	 >50K
53	 Private	 Divorced	 HS-grad	 Own-child	 White	 Female	 Sales	35	 United-States	 <=50K
49	 Local-gov	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Protective-serv	40	 United-States	 >50K
33	 Private	 Married-civ-spouse	 Masters	 Husband	 White	 Male	 Prof-specialty	50	 United-States	 <=50K
30	 Private	 Never-married	 9th	 Not-in-family	 White	 Male	 Sales	40	 United-States	 <=50K
43	 Federal-gov	 Never-married	 Doctorate	 Not-in-family	 White	 Female	 Prof-specialty	50	 United-States	 >50K
57	 Private	 Married-civ-spouse	 Assoc-voc	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 <=50K
37	 Private	 Divorced	 Some-college	 Unmarried	 White	 Female	 Craft-repair	40	 United-States	 <=50K
28	 Private	 Divorced	 Some-college	 Unmarried	 Black	 Female	 Machine-op-inspct	25	 United-States	 <=50K
30	 Private	 Married-civ-spouse	 HS-grad	 Wife	 Asian-Pac-Islander	 Female	 Sales	35	 ?	 <=50K
34	 Local-gov	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Protective-serv	40	 United-States	 >50K
29	 Local-gov	 Never-married	 Some-college	 Not-in-family	 White	 Male	 Handlers-cleaners	50	 United-States	 <=50K
48	 Self-emp-not-inc	 Married-civ-spouse	 Doctorate	 Husband	 White	 Male	 Prof-specialty	60	 United-States	 >50K
37	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Sales	48	 United-States	 >50K
48	 Private	 Divorced	 Assoc-acdm	 Unmarried	 White	 Female	 Exec-managerial	40	 England	 <=50K
32	 Federal-gov	 Never-married	 HS-grad	 Own-child	 Black	 Male	 Other-service	40	 United-States	 <=50K
76	 Private	 Married-civ-spouse	 Masters	 Husband	 White	 Male	 Exec-managerial	40	 United-States	 >50K
44	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	60	 United-States	 >50K
47	 Self-emp-not-inc	 Never-married	 Masters	 Not-in-family	 White	 Female	 Prof-specialty	50	 United-States	 <=50K
20	 Private	 Never-married	 Some-college	 Own-child	 White	 Female	 Tech-support	40	 United-States	 <=50K
29	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Craft-repair	40	 United-States	 <=50K
32	 Self-emp-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	40	 United-States	 >50K
17	 ?	 Never-married	 10th	 Own-child	 White	 Female	 ?	32	 United-States	 <=50K
30	 Private	 Never-married	 11th	 Own-child	 White	 Male	 Handlers-cleaners	40	 United-States	 <=50K
31	 Local-gov	 Never-married	 HS-grad	 Not-in-family	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
42	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Handlers-cleaners	40	 United-States	 <=50K
24	 Private	 Never-married	 Bachelors	 Other-relative	 White	 Male	 Sales	40	 United-States	 <=50K
38	 Private	 Married-civ-spouse	 Prof-school	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 >50K
56	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Other-service	50	 Canada	 >50K
28	 Private	 Married-civ-spouse	 Some-college	 Wife	 White	 Female	 Sales	25	 United-States	 <=50K
36	 Private	 Never-married	 HS-grad	 Own-child	 White	 Female	 Machine-op-inspct	40	 United-States	 <=50K
53	 Private	 Married-civ-spouse	 9th	 Husband	 White	 Male	 Handlers-cleaners	50	 United-States	 <=50K
56	 Self-emp-inc	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Sales	50	 United-States	 <=50K
49	 Local-gov	 Married-civ-spouse	 Assoc-voc	 Husband	 Black	 Male	 Craft-repair	40	 United-States	 >50K
55	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Sales	56	 United-States	 <=50K
22	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Craft-repair	41	 United-States	 <=50K
21	 Private	 Never-married	 Some-college	 Own-child	 White	 Female	 Other-service	40	 United-States	 <=50K
40	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	60	 United-States	 <=50K
30	 Private	 Never-married	 Bachelors	 Own-child	 Black	 Male	 Exec-managerial	40	 Germany	 <=50K
29	 State-gov	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	50	 United-States	 >50K
19	 Private	 Never-married	 Some-college	 Own-child	 Black	 Male	 Other-service	35	 United-States	 <=50K
47	 Private	 Married-civ-spouse	 Bachelors	 Wife	 White	 Female	 Exec-managerial	40	 United-States	 >50K
20	 Private	 Never-married	 Some-college	 Own-child	 White	 Female	 Adm-clerical	28	 United-States	 <=50K
31	 Private	 Married-civ-spouse	 Assoc-acdm	 Husband	 White	 Male	 Adm-clerical	40	 United-States	 >50K
35	 ?	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 ?	40	 United-States	 <=50K
39	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Male	 Craft-repair	40	 United-States	 <=50K
28	 Private	 Never-married	 Assoc-acdm	 Not-in-family	 White	 Female	 Sales	60	 United-States	 <=50K
24	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Female	 Other-service	40	 United-States	 <=50K
38	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	35	 United-States	 <=50K
37	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Sales	50	 United-States	 <=50K
46	 Private	 Divorced	 Assoc-acdm	 Not-in-family	 Black	 Female	 Tech-support	36	 United-States	 <=50K
38	 Federal-gov	 Married-civ-spouse	 Masters	 Husband	 White	 Male	 Prof-specialty	40	 Iran	 >50K
43	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	60	 United-States	 <=50K
27	 Private	 Married-civ-spouse	 Assoc-voc	 Wife	 White	 Female	 Adm-clerical	35	 United-States	 <=50K
20	 Private	 Never-married	 Some-college	 Own-child	 White	 Male	 Sales	20	 United-States	 <=50K
49	 Private	 Married-civ-spouse	 Some-college	 Husband	 Asian-Pac-Islander	 Male	 Craft-repair	40	 United-States	 >50K
61	 Self-emp-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	40	 United-States	 <=50K
27	 Private	 Never-married	 Some-college	 Own-child	 White	 Female	 Sales	40	 United-States	 <=50K
19	 Private	 Never-married	 Some-college	 Own-child	 White	 Male	 Other-service	30	 Mexico	 <=50K
45	 Private	 Never-married	 Assoc-voc	 Not-in-family	 White	 Female	 Prof-specialty	40	 United-States	 >50K
70	 Private	 Never-married	 Some-college	 Other-relative	 White	 Male	 Tech-support	40	 United-States	 <=50K
31	 Private	 Never-married	 HS-grad	 Unmarried	 Black	 Female	 Transport-moving	30	 United-States	 <=50K
22	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Other-service	24	 United-States	 <=50K
36	 Private	 Widowed	 HS-grad	 Unmarried	 White	 Female	 Other-service	24	 United-States	 <=50K
64	 Private	 Married-civ-spouse	 11th	 Husband	 White	 Male	 Craft-repair	40	 United-States	 <=50K
43	 ?	 Divorced	 Some-college	 Not-in-family	 White	 Female	 ?	40	 United-States	 <=50K
47	 Local-gov	 Divorced	 Some-college	 Unmarried	 White	 Female	 Adm-clerical	38	 Mexico	 <=50K
34	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
33	 Private	 Never-married	 Bachelors	 Other-relative	 Asian-Pac-Islander	 Female	 Exec-managerial	40	 Philippines	 <=50K
21	 Private	 Never-married	 HS-grad	 Own-child	 White	 Male	 Craft-repair	35	 United-States	 <=50K
52	 ?	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 ?	45	 United-States	 >50K
48	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	46	 United-States	 <=50K
23	 Private	 Never-married	 Bachelors	 Not-in-family	 White	 Male	 Handlers-cleaners	40	 United-States	 <=50K
71	 Self-emp-not-inc	 Separated	 Some-college	 Unmarried	 Black	 Male	 Sales	2	 United-States	 <=50K
29	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 Craft-repair	60	 United-States	 <=50K
42	 Private	 Separated	 Bachelors	 Other-relative	 Black	 Male	 Other-service	50	 United-States	 <=50K
68	 ?	 Divorced	 1st-4th	 Not-in-family	 White	 Female	 ?	20	 United-States	 <=50K
25	 Private	 Never-married	 HS-grad	 Unmarried	 White	 Female	 Other-service	40	 United-States	 <=50K
44	 Self-emp-inc	 Divorced	 Masters	 Unmarried	 Asian-Pac-Islander	 Female	 Exec-managerial	40	 United-States	 <=50K
28	 Private	 Never-married	 HS-grad	 Not-in-family	 Asian-Pac-Islander	 Female	 Exec-managerial	40	 England	 <=50K
45	 Self-emp-not-inc	 Married-civ-spouse	 Masters	 Husband	 White	 Male	 Sales	40	 United-States	 >50K
36	 Private	 Divorced	 Some-college	 Unmarried	 White	 Female	 Other-service	40	 Mexico	 <=50K
39	 Federal-gov	 Never-married	 Assoc-acdm	 Not-in-family	 White	 Male	 Exec-managerial	42	 United-States	 <=50K
46	 State-gov	 Widowed	 Masters	 Unmarried	 White	 Male	 Protective-serv	40	 United-States	 <=50K
18	 Private	 Never-married	 11th	 Own-child	 White	 Male	 Handlers-cleaners	16	 United-States	 <=50K
66	 Local-gov	 Widowed	 Assoc-voc	 Not-in-family	 White	 Female	 Prof-specialty	20	 United-States	 <=50K
27	 Private	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Other-service	40	 United-States	 <=50K
28	 State-gov	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Protective-serv	40	 United-States	 <=50K
51	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Sales	40	 United-States	 >50K
27	 Private	 Never-married	 Bachelors	 Not-in-family	 White	 Male	 Craft-repair	50	 United-States	 <=50K
28	 State-gov	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 >50K
27	 Private	 Married-spouse-absent	 HS-grad	 Unmarried	 White	 Female	 Sales	25	 United-States	 <=50K
21	 Private	 Never-married	 HS-grad	 Own-child	 Black	 Male	 Craft-repair	40	 United-States	 <=50K
34	 Private	 Never-married	 HS-grad	 Not-in-family	 Black	 Male	 Handlers-cleaners	40	 United-States	 <=50K
18	 Private	 Never-married	 HS-grad	 Own-child	 White	 Male	 Other-service	12	 United-States	 <=50K
33	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	65	 United-States	 <=50K
44	 Local-gov	 Married-civ-spouse	 Some-college	 Husband	 Black	 Male	 Exec-managerial	38	 United-States	 >50K
43	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
30	 Private	 Never-married	 Some-college	 Not-in-family	 Black	 Male	 Craft-repair	45	 United-States	 <=50K
40	 Private	 Married-civ-spouse	 7th-8th	 Husband	 White	 Male	 Machine-op-inspct	40	 Mexico	 >50K
37	 Federal-gov	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Adm-clerical	42	 United-States	 >50K
34	 Private	 Married-civ-spouse	 HS-grad	 Husband	 Black	 Male	 Adm-clerical	40	 United-States	 <=50K
41	 Self-emp-not-inc	 Divorced	 Bachelors	 Not-in-family	 White	 Female	 Exec-managerial	40	 United-States	 <=50K
53	 ?	 Divorced	 Bachelors	 Not-in-family	 White	 Female	 ?	50	 United-States	 <=50K
31	 Private	 Married-civ-spouse	 Masters	 Wife	 White	 Female	 Prof-specialty	50	 United-States	 <=50K
58	 State-gov	 Married-civ-spouse	 Doctorate	 Husband	 White	 Male	 Prof-specialty	1	 United-States	 >50K
38	 Private	 Divorced	 Some-college	 Not-in-family	 Black	 Female	 Machine-op-inspct	28	 United-States	 <=50K
24	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Machine-op-inspct	40	 United-States	 <=50K
41	 Local-gov	 Married-civ-spouse	 Bachelors	 Husband	 Black	 Male	 Craft-repair	40	 United-States	 <=50K
47	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Tech-support	45	 United-States	 <=50K
41	 Federal-gov	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Tech-support	24	 United-States	 <=50K
23	 Private	 Married-civ-spouse	 5th-6th	 Other-relative	 White	 Male	 Transport-moving	40	 Mexico	 <=50K
36	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Male	 Craft-repair	40	 United-States	 <=50K
40	 Federal-gov	 Never-married	 Masters	 Not-in-family	 White	 Female	 Exec-managerial	55	 United-States	 >50K
35	 Private	 Married-civ-spouse	 Masters	 Other-relative	 White	 Male	 Prof-specialty	40	 United-States	 >50K
24	 Self-emp-not-inc	 Never-married	 HS-grad	 Not-in-family	 White	 Male	 Sales	40	 United-States	 <=50K
26	 Private	 Never-married	 Masters	 Not-in-family	 White	 Female	 Prof-specialty	40	 United-States	 <=50K
19	 ?	 Never-married	 HS-grad	 Own-child	 White	 Male	 ?	40	 Italy	 <=50K
51	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	50	 United-States	 >50K
42	 Local-gov	 Never-married	 Some-college	 Not-in-family	 White	 Female	 Prof-specialty	40	 United-States	 <=50K
37	 State-gov	 Divorced	 HS-grad	 Unmarried	 White	 Female	 Adm-clerical	35	 United-States	 <=50K
18	 Private	 Never-married	 11th	 Own-child	 White	 Female	 Sales	40	 United-States	 <=50K
36	 Private	 Married-civ-spouse	 Bachelors	 Husband	 Black	 Male	 Other-service	36	 United-States	 >50K
35	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Male	 Craft-repair	60	 United-States	 <=50K
58	 Self-emp-inc	 Married-civ-spouse	 HS-grad	 Wife	 White	 Female	 Sales	35	 United-States	 >50K
17	 Private	 Never-married	 11th	 Own-child	 White	 Female	 Sales	12	 United-States	 <=50K
44	 Local-gov	 Married-civ-spouse	 HS-grad	 Husband	 Black	 Male	 Transport-moving	40	 United-States	 <=50K
37	 Private	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Craft-repair	40	 United-States	 >50K
35	 Private	 Never-married	 Some-college	 Not-in-family	 Amer-Indian-Eskimo	 Female	 Sales	40	 United-States	 <=50K
60	 Private	 Married-civ-spouse	 HS-grad	 Husband	 Asian-Pac-Islander	 Male	 Craft-repair	40	 United-States	 <=50K
54	 Self-emp-inc	 Married-civ-spouse	 7th-8th	 Husband	 White	 Male	 Machine-op-inspct	40	 United-States	 >50K
37	 Private	 Never-married	 Bachelors	 Not-in-family	 Black	 Male	 Exec-managerial	60	 United-States	 >50K
50	 Private	 Divorced	 Assoc-acdm	 Not-in-family	 White	 Female	 Sales	40	 United-States	 <=50K
38	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Sales	50	 Poland	 <=50K
45	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	55	 United-States	 <=50K
25	 Private	 Never-married	 10th	 Not-in-family	 White	 Male	 Craft-repair	40	 United-States	 <=50K
31	 Private	 Married-civ-spouse	 Some-college	 Husband	 White	 Male	 Handlers-cleaners	40	 United-States	 <=50K
64	 ?	 Divorced	 1st-4th	 Not-in-family	 White	 Male	 ?	40	 United-States	 <=50K
90	 Private	 Never-married	 HS-grad	 Not-in-family	 Black	 Male	 Other-service	40	 United-States	 <=50K
54	 Private	 Married-civ-spouse	 HS-grad	 Husband	 Black	 Male	 Adm-clerical	20	 United-States	 <=50K
53	 Local-gov	 Never-married	 Preschool	 Not-in-family	 White	 Female	 Machine-op-inspct	35	 United-States	 <=50K
18	 Private	 Never-married	 HS-grad	 Own-child	 White	 Female	 Sales	40	 United-States	 <=50K
60	 ?	 Divorced	 10th	 Not-in-family	 Amer-Indian-Eskimo	 Female	 ?	10	 United-States	 <=50K
66	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Farming-fishing	50	 United-States	 <=50K
75	 Private	 Widowed	 Assoc-voc	 Not-in-family	 White	 Female	 Adm-clerical	20	 Columbia	 <=50K
65	 Private	 Divorced	 HS-grad	 Not-in-family	 White	 Female	 Adm-clerical	40	 United-States	 <=50K
35	 Private	 Separated	 11th	 Not-in-family	 Black	 Male	 Transport-moving	40	 United-States	 <=50K
41	 Private	 Divorced	 HS-grad	 Unmarried	 Black	 Female	 Sales	38	 United-States	 <=50K
25	 Private	 Never-married	 Some-college	 Not-in-family	 White	 Male	 Adm-clerical	42	 United-States	 <=50K
33	 Private	 Divorced	 Some-college	 Other-relative	 Other	 Female	 Craft-repair	40	 United-States	 <=50K
28	 Private	 Never-married	 Prof-school	 Not-in-family	 White	 Male	 Prof-specialty	55	 United-States	 >50K
59	 State-gov	 Married-civ-spouse	 HS-grad	 Husband	 White	 Male	 Other-service	40	 United-States	 <=50K
40	 State-gov	 Never-married	 Some-college	 Not-in-family	 White	 Female	 Adm-clerical	38	 United-States	 <=50K
41	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Exec-managerial	50	 Iran	 >50K
38	 Local-gov	 Married-civ-spouse	 Masters	 Husband	 White	 Male	 Exec-managerial	70	 United-States	 >50K
23	 Private	 Never-married	 HS-grad	 Own-child	 White	 Male	 Transport-moving	40	 United-States	 <=50K
40	 Private	 Married-civ-spouse	 Bachelors	 Husband	 White	 Male	 Prof-specialty	40	 United-States	 >50K
41	 Self-emp-not-inc	 Married-civ-spouse	 HS-grad	 Wife	 White	 Female	 Other-service	20	 United-States	 <=50K
24	 State-gov	 Married-civ-spouse	 Assoc-acdm	 Husband	 White	 Male	 Protective-serv	50	 United-States	 <=50K
20	 ?	 Never-married	 Some-college	 Own-child	 White	 Male	 ?	20	 United-States	 <=50K
38	 Private	 Divorced	 Some-college	 Not-in-family	 White	 Male	 Craft-repair	40	 United-States	 <=50K
